Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0016266	GO:0016266	O-glycan processing	2.597e-04	0.000e+00	5.543e+00	2.865e-06
GO:0018342	GO:0018342	protein prenylation	9.415e-04	0.000e+00	3.965e+00	1.084e-04
GO:0018342	GO:0097354	prenylation	9.415e-04	0.000e+00	3.965e+00	1.084e-04
GO:0009100	GO:0009100	glycoprotein metabolic process	1.306e-03	0.000e+00	3.735e+00	1.839e-04
GO:0006605	GO:0006605	protein targeting	1.467e-03	0.000e+00	2.675e+00	2.113e-03
GO:0030502	GO:0030502	negative regulation of bone mineralization	1.617e-03	0.000e+00	5.543e+00	2.865e-06
GO:0030502	GO:0070168	negative regulation of biomineral tissue development	3.858e-03	0.000e+00	5.352e+00	4.444e-06
GO:0030502	GO:0030279	negative regulation of ossification	5.539e-03	0.000e+00	5.164e+00	6.862e-06
GO:0010759	GO:0010759	positive regulation of macrophage chemotaxis	1.881e-03	0.000e+00	5.536e+00	2.912e-06
GO:0010759	GO:1905523	positive regulation of macrophage migration	2.466e-03	0.000e+00	5.405e+00	3.940e-06
GO:0010759	GO:0010758	regulation of macrophage chemotaxis	3.483e-03	0.000e+00	5.373e+00	4.239e-06
GO:0010759	GO:1905521	regulation of macrophage migration	6.981e-03	0.000e+00	5.187e+00	6.506e-06
GO:0010759	GO:0071622	regulation of granulocyte chemotaxis	9.139e-03	0.000e+00	5.024e+00	9.459e-06
GO:0046058	GO:0046058	cAMP metabolic process	1.881e-03	0.000e+00	3.686e+00	2.063e-04
GO:0046058	GO:0009187	cyclic nucleotide metabolic process	3.858e-03	0.000e+00	3.120e+00	7.578e-04
GO:0002690	GO:0002690	positive regulation of leukocyte chemotaxis	2.125e-03	0.000e+00	4.688e+00	2.051e-05
GO:0002690	GO:0002688	regulation of leukocyte chemotaxis	4.570e-03	0.000e+00	4.578e+00	2.640e-05
GO:0002690	GO:0050921	positive regulation of chemotaxis	7.493e-03	0.000e+00	4.500e+00	3.159e-05
GO:0002690	GO:0002687	positive regulation of leukocyte migration	7.982e-03	0.000e+00	4.479e+00	3.315e-05
GO:0006493	GO:0006493	protein O-linked glycosylation	2.355e-03	0.000e+00	3.569e+00	2.696e-04
GO:0006493	GO:0006486	protein glycosylation	5.950e-03	0.000e+00	2.795e+00	1.603e-03
GO:0030324	GO:0030324	lung development	2.472e-03	0.000e+00	4.820e+00	1.513e-05
GO:0030323	GO:0030323	respiratory tube development	2.700e-03	0.000e+00	5.647e+00	2.254e-06
GO:0016239	GO:0016239	positive regulation of macroautophagy	3.277e-03	0.000e+00	4.733e+00	1.850e-05
GO:2000434	GO:2000434	regulation of protein neddylation	3.483e-03	0.000e+00	5.548e+00	2.828e-06
GO:0051310	GO:0051310	metaphase plate congression	3.576e-03	0.000e+00	4.871e+00	1.346e-05
GO:0051310	GO:0051303	establishment of chromosome localization	4.570e-03	0.000e+00	4.805e+00	1.568e-05
GO:0051310	GO:0051656	establishment of organelle localization	4.535e-03	0.000e+00	3.810e+00	1.549e-04
GO:0051310	GO:0051640	organelle localization	4.079e-03	0.000e+00	3.539e+00	2.893e-04
GO:0051310	GO:0050000	chromosome localization	5.923e-03	0.000e+00	4.527e+00	2.975e-05
GO:0060541	GO:0060541	respiratory system development	3.755e-03	0.000e+00	5.282e+00	5.220e-06
GO:0010573	GO:0010573	vascular endothelial growth factor production	4.663e-03	0.000e+00	5.573e+00	2.674e-06
GO:0010573	GO:0071604	transforming growth factor beta production	6.981e-03	0.000e+00	6.101e+00	7.927e-07
GO:0043413	GO:0043413	macromolecule glycosylation	5.950e-03	0.000e+00	2.795e+00	1.603e-03
GO:0043413	GO:0070085	glycosylation	8.192e-03	0.000e+00	2.705e+00	1.973e-03
GO:0048246	GO:0048246	macrophage chemotaxis	6.002e-03	0.000e+00	5.722e+00	1.898e-06
GO:0048246	GO:0071621	granulocyte chemotaxis	3.731e-03	0.000e+00	4.956e+00	1.105e-05
GO:0048246	GO:0030595	leukocyte chemotaxis	2.399e-03	0.000e+00	4.568e+00	2.704e-05
GO:0048246	GO:0097529	myeloid leukocyte migration	3.025e-03	0.000e+00	4.643e+00	2.278e-05
GO:0048246	GO:0097530	granulocyte migration	6.569e-03	0.000e+00	4.862e+00	1.375e-05
GO:0048246	GO:0060326	cell chemotaxis	7.547e-03	0.000e+00	3.953e+00	1.113e-04
GO:0071634	GO:0071634	regulation of transforming growth factor beta production	6.002e-03	0.000e+00	5.154e+00	7.010e-06
GO:0045116	GO:0045116	protein neddylation	6.483e-03	0.000e+00	4.103e+00	7.895e-05
GO:0060428	GO:0060428	lung epithelium development	6.981e-03	0.000e+00	5.713e+00	1.938e-06
GO:0060249	GO:0060249	anatomical structure homeostasis	8.698e-03	0.000e+00	4.497e+00	3.184e-05
GO:0050680	GO:0050680	negative regulation of epithelial cell proliferation	8.751e-03	0.000e+00	4.588e+00	2.580e-05
GO:0050673	GO:0050673	epithelial cell proliferation	9.177e-03	0.000e+00	4.385e+00	4.119e-05
GO:0030218	GO:0030218	erythrocyte differentiation	9.562e-03	0.000e+00	4.720e+00	1.904e-05
