Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0045332	GO:0045332	phospholipid translocation	2.159e-03	0.000e+00	4.293e+00	5.093e-05
GO:0045332	GO:0034204	lipid translocation	3.275e-03	0.000e+00	3.599e+00	2.515e-04
GO:0045332	GO:0097035	regulation of membrane lipid distribution	5.092e-03	0.000e+00	3.576e+00	2.655e-04
GO:0043244	GO:0043244	regulation of protein-containing complex disassembly	2.389e-03	0.000e+00	2.855e+00	1.397e-03
GO:0043244	GO:1901880	negative regulation of protein depolymerization	1.225e-02	0.000e+00	3.690e+00	2.043e-04
GO:0043244	GO:0010639	negative regulation of organelle organization	7.060e-03	0.000e+00	3.400e+00	3.981e-04
GO:0008611	GO:0008611	ether lipid biosynthetic process	4.261e-03	0.000e+00	4.854e+00	1.398e-05
GO:0008611	GO:0046504	glycerol ether biosynthetic process	4.261e-03	0.000e+00	4.854e+00	1.398e-05
GO:0008611	GO:0097384	cellular lipid biosynthetic process	4.261e-03	0.000e+00	4.633e+00	2.330e-05
GO:0008611	GO:1901503	ether biosynthetic process	4.261e-03	0.000e+00	4.835e+00	1.463e-05
GO:0008611	GO:0046485	ether lipid metabolic process	7.242e-03	0.000e+00	4.818e+00	1.520e-05
GO:0008611	GO:0006662	glycerol ether metabolic process	7.242e-03	0.000e+00	4.818e+00	1.520e-05
GO:0008611	GO:0018904	ether metabolic process	8.394e-03	0.000e+00	4.705e+00	1.971e-05
GO:0042455	GO:0042455	ribonucleoside biosynthetic process	4.261e-03	0.000e+00	2.603e+00	2.495e-03
GO:0042455	GO:0009163	nucleoside biosynthetic process	8.394e-03	0.000e+00	2.603e+00	2.495e-03
GO:0042455	GO:0034404	nucleobase-containing small molecule biosynthetic process	8.394e-03	0.000e+00	2.603e+00	2.495e-03
GO:0042455	GO:1901659	glycosyl compound biosynthetic process	1.230e-02	0.000e+00	2.580e+00	2.629e-03
GO:0046129	GO:0042451	purine nucleoside biosynthetic process	4.261e-03	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0046129	purine ribonucleoside biosynthetic process	4.261e-03	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0046128	purine ribonucleoside metabolic process	8.394e-03	0.000e+00	3.223e+00	5.987e-04
GO:0046129	GO:0042278	purine nucleoside metabolic process	1.230e-02	0.000e+00	3.194e+00	6.404e-04
GO:0050951	GO:0050951	sensory perception of temperature stimulus	4.261e-03	0.000e+00	6.051e+00	8.901e-07
GO:0090026	GO:0090026	positive regulation of monocyte chemotaxis	4.261e-03	0.000e+00	5.192e+00	6.429e-06
GO:0090026	GO:0090025	regulation of monocyte chemotaxis	9.622e-03	0.000e+00	5.139e+00	7.265e-06
GO:0000727	GO:0000727	double-strand break repair via break-induced replication	5.174e-03	0.000e+00	4.662e+00	2.177e-05
GO:0006525	GO:0006525	arginine metabolic process	5.174e-03	0.000e+00	2.321e+00	4.774e-03
GO:0051303	GO:0051303	establishment of chromosome localization	5.843e-03	0.000e+00	4.805e+00	1.568e-05
