Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0045807	GO:0045807	positive regulation of endocytosis	1.455e-04	0.000e+00	4.499e+00	3.166e-05
GO:0045807	GO:0030100	regulation of endocytosis	2.115e-04	0.000e+00	4.115e+00	7.677e-05
GO:0031333	GO:0031333	negative regulation of protein-containing complex assembly	2.741e-04	0.000e+00	3.578e+00	2.642e-04
GO:0031333	GO:0043254	regulation of protein-containing complex assembly	8.129e-03	0.000e+00	3.416e+00	3.839e-04
GO:0033135	GO:0033135	regulation of peptidyl-serine phosphorylation	1.699e-03	0.000e+00	4.669e+00	2.142e-05
GO:0034121	GO:0062207	regulation of pattern recognition receptor signaling pathway	1.579e-03	0.000e+00	4.369e+00	4.272e-05
GO:0034121	GO:0034121	regulation of toll-like receptor signaling pathway	2.184e-03	0.000e+00	4.758e+00	1.747e-05
GO:0034121	GO:0034163	regulation of toll-like receptor 9 signaling pathway	7.318e-03	0.000e+00	5.700e+00	1.995e-06
GO:0006268	GO:0006268	DNA unwinding involved in DNA replication	2.208e-03	0.000e+00	3.586e+00	2.594e-04
GO:0006268	GO:0032392	DNA geometric change	6.502e-03	0.000e+00	2.560e+00	2.754e-03
GO:0051303	GO:0051303	establishment of chromosome localization	2.887e-03	0.000e+00	4.805e+00	1.568e-05
GO:0051303	GO:0050000	chromosome localization	4.128e-03	0.000e+00	4.527e+00	2.975e-05
GO:0062149	GO:0062149	detection of stimulus involved in sensory perception of pain	3.211e-03	0.000e+00	5.378e+00	4.189e-06
GO:0043244	GO:0043244	regulation of protein-containing complex disassembly	3.248e-03	0.000e+00	2.855e+00	1.397e-03
GO:0043244	GO:1902903	regulation of supramolecular fiber organization	5.164e-03	0.000e+00	3.407e+00	3.914e-04
GO:0007032	GO:0007032	endosome organization	4.987e-03	0.000e+00	4.436e+00	3.668e-05
GO:0007032	GO:0006906	vesicle fusion	2.515e-03	0.000e+00	4.280e+00	5.242e-05
GO:0007032	GO:0090174	organelle membrane fusion	2.744e-03	0.000e+00	4.222e+00	5.997e-05
GO:0007032	GO:0016050	vesicle organization	2.801e-03	0.000e+00	3.787e+00	1.634e-04
GO:1902600	GO:1902600	proton transmembrane transport	4.988e-03	0.000e+00	1.658e+00	2.196e-02
GO:0007059	GO:0007059	chromosome segregation	5.164e-03	0.000e+00	2.891e+00	1.284e-03
GO:0051258	GO:0051258	protein polymerization	5.645e-03	0.000e+00	3.599e+00	2.516e-04
GO:0034315	GO:0034315	regulation of Arp2/3 complex-mediated actin nucleation	5.954e-03	0.000e+00	5.044e+00	9.042e-06
GO:0048679	GO:0048679	regulation of axon regeneration	5.954e-03	0.000e+00	5.312e+00	4.874e-06
GO:0048679	GO:0070570	regulation of neuron projection regeneration	7.720e-03	0.000e+00	5.280e+00	5.247e-06
GO:0008611	GO:0008611	ether lipid biosynthetic process	6.035e-03	0.000e+00	4.854e+00	1.398e-05
GO:0008611	GO:0046504	glycerol ether biosynthetic process	6.035e-03	0.000e+00	4.854e+00	1.398e-05
GO:0008611	GO:0097384	cellular lipid biosynthetic process	6.035e-03	0.000e+00	4.633e+00	2.330e-05
GO:0008611	GO:1901503	ether biosynthetic process	7.318e-03	0.000e+00	4.835e+00	1.463e-05
GO:0046129	GO:0042451	purine nucleoside biosynthetic process	6.035e-03	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0046129	purine ribonucleoside biosynthetic process	6.035e-03	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0042455	ribonucleoside biosynthetic process	6.035e-03	0.000e+00	2.603e+00	2.495e-03
GO:0046929	GO:0046929	negative regulation of neurotransmitter secretion	6.035e-03	0.000e+00	5.654e+00	2.217e-06
