dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	1.1629991043962964	0.23484439673800633	1.061745829264701	-11.787431936990142	1.0986122886681098	1.63142856810138e-12	chromosome segregation	1. chromosome segregation	['GO:0007059', 'GO:0098813']	GO:0007059	0
2	-0.7474455518647567	1.0866793248067708	1.3080654664814149	-9.074106275179288	2.3978952727983707	8.43128412551105e-10	cell cycle checkpoint signaling	2. cell cycle checkpoint signaling	['GO:0000075', 'GO:1901988', 'GO:1901987', 'GO:1901976', 'GO:0010948', 'GO:0045786', 'GO:0071173', 'GO:0031577', 'GO:0031570', 'GO:0000077']	GO:0000075	0
3	-0.3241245924034494	-0.9439434882848018	1.4404407277943374	-8.308659961451736	1.3862943611198906	4.91292391671484e-09	nuclear division	3. nuclear division	['GO:0000280', 'GO:0048285', 'GO:0140014']	GO:0000280	0
4	0.2688833470413735	1.4070279773441328	1.3839137655480933	-8.186271422333565	1.9459101490553132	6.51221271129704e-09	mitotic cell cycle checkpoint signaling	4. mitotic cell cycle checkpoint signaling	['GO:0007093', 'GO:0045930', 'GO:1901991', 'GO:0007346', 'GO:0007094', 'GO:0071174']	GO:0007093	0
5	-0.027550501162775687	-1.3472152799150365	0.7874091189541488	-7.443537481329844	0.6931471805599453	3.60132668181209e-08	chromosome organization	5. chromosome organization	['GO:0051276']	GO:0051276	0
6	1.0434323042300624	0.39461517826073716	1.364977973014252	-6.80867547783532	0.6931471805599453	1.55354744897938e-07	chromosome separation	6. chromosome separation	['GO:0051304']	GO:0051304	0
7	-0.9597646564319512	1.001032629023855	1.3672877507932963	-6.80867547783532	2.1972245773362196	1.55354744897938e-07	regulation of chromosome segregation	7. regulation of chromosome segregation	['GO:0051983', 'GO:1902099', 'GO:0030071', 'GO:1905818', 'GO:1905819', 'GO:1905820', 'GO:0051984', 'GO:0090068']	GO:0051983	0
8	0.9314433758775483	-0.5356640129789075	1.57631882406106	-6.644521831782079	1.0986122886681098	2.26713910624972e-07	mitotic sister chromatid segregation	8. mitotic sister chromatid segregation	['GO:0000070', 'GO:0000819']	GO:0000070	0
9	-0.8314140492126116	1.1758049025255175	1.409012901293855	-5.90019782681349	2.4849066497880004	1.2583520854015e-06	regulation of mitotic nuclear division	9. regulation of mitotic nuclear division	['GO:0007088', 'GO:0051783', 'GO:0045841', 'GO:0033048', 'GO:1902100', 'GO:2000816', 'GO:0033046', 'GO:0051985', 'GO:0033047', 'GO:0045839', 'GO:0051784']	GO:0007088	0
10	0.8540799019941011	0.3588384163516934	1.4097818938501037	-5.6781728561562685	1.3862943611198906	2.09810463818019e-06	cell cycle phase transition	10. cell cycle phase transition	['GO:0044770', 'GO:0044772', 'GO:0007091']	GO:0044770	0
11	0.09395328102604876	-1.2186546548600459	1.2770678030453555	-4.514436768913577	0.6931471805599453	3.05888557240458e-05	DNA unwinding involved in DNA replication	11. DNA unwinding involved in DNA replication	['GO:0006268']	GO:0006268	0
12	-1.2367135617048555	-0.3641207425020421	1.739196637497054	-4.172926098920194	0.6931471805599453	6.71543115347536e-05	inner cell mass cell proliferation	12. inner cell mass cell proliferation	['GO:0001833']	GO:0001833	0
13	-0.22777840178503073	-1.2492446465098783	1.2498406180046646	-3.7997252024419064	0.6931471805599453	0.000158589634266071	chromosome condensation	13. chromosome condensation	['GO:0030261']	GO:0030261	0
