Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0001944	GO:0001944	vasculature development	1.092e-05	0.000e+00	4.867e+00	1.360e-05
GO:0001568	GO:0001568	blood vessel development	1.309e-05	0.000e+00	4.514e+00	3.064e-05
GO:0001568	GO:0035904	aorta development	2.455e-04	0.000e+00	5.253e+00	5.582e-06
GO:0007264	GO:0007264	small GTPase mediated signal transduction	7.532e-05	0.000e+00	3.179e+00	6.626e-04
GO:0007264	GO:0007265	Ras protein signal transduction	3.832e-04	0.000e+00	3.844e+00	1.432e-04
GO:0048514	GO:0048514	blood vessel morphogenesis	1.128e-04	0.000e+00	4.608e+00	2.465e-05
GO:0090068	GO:0090068	positive regulation of cell cycle process	1.227e-04	0.000e+00	4.043e+00	9.059e-05
GO:0090068	GO:0045787	positive regulation of cell cycle	5.626e-04	0.000e+00	3.915e+00	1.215e-04
GO:0051056	GO:0051056	regulation of small GTPase mediated signal transduction	1.387e-04	0.000e+00	3.531e+00	2.941e-04
GO:0071902	GO:0071902	positive regulation of protein serine/threonine kinase activity	2.074e-04	0.000e+00	4.330e+00	4.675e-05
GO:0071902	GO:0033674	positive regulation of kinase activity	1.586e-03	0.000e+00	3.925e+00	1.187e-04
GO:0071902	GO:0001934	positive regulation of protein phosphorylation	1.146e-03	0.000e+00	3.695e+00	2.016e-04
GO:0071902	GO:0042327	positive regulation of phosphorylation	7.223e-04	0.000e+00	3.654e+00	2.216e-04
GO:0071902	GO:0051347	positive regulation of transferase activity	2.434e-03	0.000e+00	3.744e+00	1.802e-04
GO:1905144	GO:1905144	response to acetylcholine	2.096e-04	0.000e+00	6.118e+00	7.625e-07
GO:1905144	GO:1905145	cellular response to acetylcholine	2.192e-03	0.000e+00	6.367e+00	4.299e-07
GO:0009166	GO:0009166	nucleotide catabolic process	2.114e-04	0.000e+00	3.077e+00	8.374e-04
GO:0009166	GO:1901292	nucleoside phosphate catabolic process	3.195e-04	0.000e+00	2.924e+00	1.192e-03
GO:0009166	GO:0046434	organophosphate catabolic process	5.063e-04	0.000e+00	2.756e+00	1.753e-03
GO:0071577	GO:0071577	zinc ion transmembrane transport	2.749e-04	0.000e+00	3.929e+00	1.177e-04
GO:0071577	GO:0006829	zinc ion transport	4.473e-04	0.000e+00	3.479e+00	3.320e-04
GO:0018958	GO:0018958	phenol-containing compound metabolic process	3.168e-04	0.000e+00	3.348e+00	4.492e-04
GO:0001525	GO:0001525	angiogenesis	3.648e-04	0.000e+00	4.023e+00	9.475e-05
GO:0014002	GO:0014002	astrocyte development	5.574e-04	0.000e+00	5.610e+00	2.455e-06
GO:0071363	GO:0071363	cellular response to growth factor stimulus	5.772e-04	0.000e+00	4.278e+00	5.271e-05
GO:0071363	GO:0070848	response to growth factor	9.475e-04	0.000e+00	4.245e+00	5.690e-05
GO:1901699	GO:1901699	cellular response to nitrogen compound	6.351e-04	0.000e+00	3.974e+00	1.061e-04
GO:0046683	GO:0046683	response to organophosphorus	7.263e-04	0.000e+00	4.402e+00	3.960e-05
GO:0007193	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	8.330e-04	0.000e+00	4.583e+00	2.610e-05
GO:0014741	GO:0014741	negative regulation of muscle hypertrophy	1.002e-03	0.000e+00	5.489e+00	3.245e-06
GO:0006195	GO:0006195	purine nucleotide catabolic process	1.079e-03	0.000e+00	3.694e+00	2.025e-04
GO:0006195	GO:0072523	purine-containing compound catabolic process	1.709e-03	0.000e+00	3.294e+00	5.084e-04
GO:0046651	GO:0046651	lymphocyte proliferation	1.107e-03	0.000e+00	4.619e+00	2.404e-05
GO:0046651	GO:0032943	mononuclear cell proliferation	1.493e-03	0.000e+00	4.606e+00	2.475e-05
GO:0010389	GO:0010389	regulation of G2/M transition of mitotic cell cycle	1.361e-03	0.000e+00	4.271e+00	5.355e-05
GO:0010389	GO:1902749	regulation of cell cycle G2/M phase transition	2.215e-03	0.000e+00	4.136e+00	7.314e-05
GO:0010971	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	1.408e-03	0.000e+00	5.214e+00	6.113e-06
GO:0010971	GO:1902751	positive regulation of cell cycle G2/M phase transition	1.918e-03	0.000e+00	4.618e+00	2.409e-05
GO:0014065	GO:0014065	phosphatidylinositol 3-kinase signaling	1.464e-03	0.000e+00	4.742e+00	1.811e-05
GO:0006882	GO:0006882	intracellular zinc ion homeostasis	1.649e-03	0.000e+00	4.452e+00	3.533e-05
GO:0045332	GO:0045332	phospholipid translocation	1.918e-03	0.000e+00	4.293e+00	5.093e-05
GO:0014068	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	2.110e-03	0.000e+00	4.863e+00	1.371e-05
GO:0007175	GO:0007175	negative regulation of epidermal growth factor-activated receptor activity	2.192e-03	0.000e+00	5.388e+00	4.091e-06
GO:0007175	GO:2000272	negative regulation of signaling receptor activity	2.215e-03	0.000e+00	5.226e+00	5.939e-06
GO:0006260	GO:0006260	DNA replication	2.224e-03	0.000e+00	2.060e+00	8.702e-03
GO:0006575	GO:0006575	cellular modified amino acid metabolic process	2.466e-03	0.000e+00	2.209e+00	6.186e-03
GO:0000725	GO:0000725	recombinational repair	2.613e-03	0.000e+00	3.361e+00	4.352e-04
GO:0044770	GO:0044770	cell cycle phase transition	2.720e-03	0.000e+00	4.095e+00	8.034e-05
GO:0003323	GO:0003323	type B pancreatic cell development	2.747e-03	0.000e+00	5.497e+00	3.188e-06
