Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0043161	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	2.771e-04	0.000e+00	3.213e+00	6.128e-04
GO:0000045	GO:0000045	autophagosome assembly	3.312e-04	0.000e+00	4.076e+00	8.391e-05
GO:0000045	GO:1905037	autophagosome organization	4.600e-04	0.000e+00	4.068e+00	8.554e-05
GO:0000045	GO:0007033	vacuole organization	8.974e-04	0.000e+00	3.873e+00	1.338e-04
GO:0009156	GO:0009156	ribonucleoside monophosphate biosynthetic process	5.635e-04	0.000e+00	2.109e+00	7.780e-03
GO:0009156	GO:0009161	ribonucleoside monophosphate metabolic process	6.073e-04	0.000e+00	2.074e+00	8.429e-03
GO:0009156	GO:0009124	nucleoside monophosphate biosynthetic process	1.329e-03	0.000e+00	2.054e+00	8.834e-03
GO:0009156	GO:0009123	nucleoside monophosphate metabolic process	1.981e-03	0.000e+00	1.927e+00	1.183e-02
GO:0009156	GO:0009174	pyrimidine ribonucleoside monophosphate biosynthetic process	7.384e-03	0.000e+00	2.864e+00	1.368e-03
GO:1902903	GO:1902903	regulation of supramolecular fiber organization	5.675e-04	0.000e+00	3.407e+00	3.914e-04
GO:1902903	GO:0110053	regulation of actin filament organization	1.478e-03	0.000e+00	3.440e+00	3.628e-04
GO:0071361	GO:0071361	cellular response to ethanol	5.676e-04	0.000e+00	5.800e+00	1.585e-06
GO:0034470	GO:0034470	ncRNA processing	6.182e-04	0.000e+00	1.615e+00	2.425e-02
GO:0045807	GO:0045807	positive regulation of endocytosis	1.012e-03	0.000e+00	4.499e+00	3.166e-05
GO:0045807	GO:0030100	regulation of endocytosis	3.771e-03	0.000e+00	4.115e+00	7.677e-05
GO:0090068	GO:0090068	positive regulation of cell cycle process	1.143e-03	0.000e+00	4.043e+00	9.059e-05
GO:0090068	GO:0045787	positive regulation of cell cycle	3.770e-03	0.000e+00	3.915e+00	1.215e-04
GO:0090068	GO:1901992	positive regulation of mitotic cell cycle phase transition	7.207e-03	0.000e+00	4.698e+00	2.006e-05
GO:0090068	GO:0045931	positive regulation of mitotic cell cycle	4.734e-03	0.000e+00	4.568e+00	2.702e-05
GO:0032006	GO:0032006	regulation of TOR signaling	1.190e-03	0.000e+00	3.892e+00	1.282e-04
GO:0033574	GO:0033574	response to testosterone	1.597e-03	0.000e+00	5.709e+00	1.955e-06
GO:0090026	GO:0090026	positive regulation of monocyte chemotaxis	1.949e-03	0.000e+00	5.192e+00	6.429e-06
GO:0090026	GO:0090025	regulation of monocyte chemotaxis	4.065e-03	0.000e+00	5.139e+00	7.265e-06
GO:0008154	GO:0008154	actin polymerization or depolymerization	2.312e-03	0.000e+00	4.045e+00	9.014e-05
GO:0008154	GO:0007015	actin filament organization	2.683e-03	0.000e+00	3.209e+00	6.176e-04
GO:0000959	GO:0000959	mitochondrial RNA metabolic process	2.428e-03	0.000e+00	4.403e+00	3.953e-05
GO:0000209	GO:0000209	protein polyubiquitination	2.497e-03	0.000e+00	3.716e+00	1.923e-04
GO:1900120	GO:1900120	regulation of receptor binding	2.550e-03	0.000e+00	5.251e+00	5.609e-06
