Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0048012	GO:0048012	hepatocyte growth factor receptor signaling pathway	1.735e-03	0.000e+00	5.662e+00	2.177e-06
GO:0043687	GO:0043687	post-translational protein modification	1.782e-03	0.000e+00	4.168e+00	6.800e-05
GO:0035269	GO:0035269	protein O-linked mannosylation	2.043e-03	0.000e+00	3.961e+00	1.093e-04
GO:0035269	GO:0035268	protein mannosylation	3.941e-03	0.000e+00	3.954e+00	1.111e-04
GO:0035269	GO:0097502	mannosylation	1.008e-02	0.000e+00	3.952e+00	1.117e-04
GO:0090330	GO:0090330	regulation of platelet aggregation	3.515e-03	0.000e+00	5.368e+00	4.283e-06
GO:0090330	GO:0034110	regulation of homotypic cell-cell adhesion	6.408e-03	0.000e+00	5.284e+00	5.196e-06
GO:0090330	GO:0010543	regulation of platelet activation	8.149e-03	0.000e+00	5.122e+00	7.547e-06
GO:0050920	GO:0050920	regulation of chemotaxis	4.514e-03	0.000e+00	4.114e+00	7.696e-05
GO:0050920	GO:0050921	positive regulation of chemotaxis	1.037e-02	0.000e+00	4.500e+00	3.159e-05
GO:0050920	GO:0050922	negative regulation of chemotaxis	1.219e-02	0.000e+00	5.001e+00	9.969e-06
GO:0000209	GO:0000209	protein polyubiquitination	4.895e-03	0.000e+00	3.716e+00	1.923e-04
GO:0035767	GO:0035767	endothelial cell chemotaxis	5.354e-03	0.000e+00	5.804e+00	1.569e-06
GO:0036010	GO:0036010	protein localization to endosome	5.354e-03	0.000e+00	5.658e+00	2.197e-06
GO:0018108	GO:0018108	peptidyl-tyrosine phosphorylation	6.057e-03	0.000e+00	4.534e+00	2.922e-05
GO:0018108	GO:0018212	peptidyl-tyrosine modification	6.287e-03	0.000e+00	4.049e+00	8.931e-05
GO:0019985	GO:0019985	translesion synthesis	6.408e-03	0.000e+00	4.246e+00	5.670e-05
GO:0019985	GO:0000731	DNA synthesis involved in DNA repair	1.369e-02	0.000e+00	4.148e+00	7.107e-05
GO:0019985	GO:0006301	postreplication repair	1.293e-02	0.000e+00	4.142e+00	7.206e-05
GO:0030517	GO:0030517	negative regulation of axon extension	6.408e-03	0.000e+00	5.207e+00	6.211e-06
GO:0030517	GO:0050771	negative regulation of axonogenesis	1.447e-02	0.000e+00	5.074e+00	8.427e-06
GO:0014911	GO:0014911	positive regulation of smooth muscle cell migration	7.547e-03	0.000e+00	5.417e+00	3.829e-06
GO:0045446	GO:0045446	endothelial cell differentiation	7.936e-03	0.000e+00	5.173e+00	6.708e-06
GO:0150117	GO:0150117	positive regulation of cell-substrate junction organization	8.149e-03	0.000e+00	5.344e+00	4.531e-06
GO:0010948	GO:0045786	negative regulation of cell cycle	4.795e-03	0.000e+00	3.500e+00	3.165e-04
GO:0010948	GO:0010948	negative regulation of cell cycle process	9.246e-03	0.000e+00	3.578e+00	2.643e-04
GO:0010948	GO:0000077	DNA damage checkpoint signaling	1.907e-02	0.000e+00	3.959e+00	1.100e-04
GO:0006260	GO:0006260	DNA replication	9.872e-03	0.000e+00	2.060e+00	8.702e-03
GO:0032103	GO:0032103	positive regulation of response to external stimulus	9.872e-03	0.000e+00	3.631e+00	2.340e-04
GO:0007095	GO:0007095	mitotic G2 DNA damage checkpoint signaling	1.008e-02	0.000e+00	4.578e+00	2.640e-05
GO:0007095	GO:0044818	mitotic G2/M transition checkpoint	2.046e-02	0.000e+00	4.428e+00	3.734e-05
GO:0051443	GO:0051443	positive regulation of ubiquitin-protein transferase activity	1.008e-02	0.000e+00	4.346e+00	4.510e-05
GO:0046329	GO:0046329	negative regulation of JNK cascade	1.076e-02	0.000e+00	5.132e+00	7.373e-06
GO:0046329	GO:0032873	negative regulation of stress-activated MAPK cascade	1.779e-02	0.000e+00	4.965e+00	1.084e-05
GO:0046329	GO:0046328	regulation of JNK cascade	1.640e-02	0.000e+00	4.419e+00	3.810e-05
GO:0046329	GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	1.779e-02	0.000e+00	4.961e+00	1.094e-05
GO:0051402	GO:0051402	neuron apoptotic process	1.115e-02	0.000e+00	4.740e+00	1.821e-05
GO:0002066	GO:0002066	columnar/cuboidal epithelial cell development	1.146e-02	0.000e+00	5.127e+00	7.463e-06
GO:0071526	GO:0071526	semaphorin-plexin signaling pathway	1.146e-02	0.000e+00	4.095e+00	8.031e-05
GO:0003158	GO:0003158	endothelium development	1.173e-02	0.000e+00	5.874e+00	1.337e-06
GO:0071548	GO:0071548	response to dexamethasone	1.219e-02	0.000e+00	5.460e+00	3.470e-06
GO:0043524	GO:0043524	negative regulation of neuron apoptotic process	1.356e-02	0.000e+00	4.520e+00	3.023e-05
GO:1901998	GO:1901998	toxin transport	1.369e-02	0.000e+00	4.270e+00	5.371e-05
GO:0050918	GO:0050918	positive chemotaxis	1.447e-02	0.000e+00	4.988e+00	1.029e-05
GO:0045931	GO:0045931	positive regulation of mitotic cell cycle	1.515e-02	0.000e+00	4.568e+00	2.702e-05
GO:0006473	GO:0006473	protein acetylation	1.693e-02	0.000e+00	3.357e+00	4.400e-04
GO:0034332	GO:0034332	adherens junction organization	1.693e-02	0.000e+00	5.080e+00	8.310e-06
GO:0099173	GO:0099173	postsynapse organization	1.727e-02	0.000e+00	5.198e+00	6.342e-06
GO:0031016	GO:0031016	pancreas development	1.779e-02	0.000e+00	4.828e+00	1.487e-05
GO:0033619	GO:0033619	membrane protein proteolysis	2.046e-02	0.000e+00	4.882e+00	1.313e-05
