Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0048193	GO:0048193	Golgi vesicle transport	4.950e-05	0.000e+00	3.078e+00	8.359e-04
GO:0048193	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	4.740e-04	0.000e+00	3.428e+00	3.730e-04
GO:0007163	GO:0007163	establishment or maintenance of cell polarity	8.572e-05	0.000e+00	3.973e+00	1.063e-04
GO:0007163	GO:0030010	establishment of cell polarity	1.006e-03	0.000e+00	4.392e+00	4.050e-05
GO:0010042	GO:0010042	response to manganese ion	1.713e-04	0.000e+00	5.894e+00	1.276e-06
GO:0030199	GO:0030199	collagen fibril organization	2.401e-04	0.000e+00	4.928e+00	1.179e-05
GO:0030199	GO:0030198	extracellular matrix organization	4.252e-04	0.000e+00	3.802e+00	1.579e-04
GO:0030199	GO:0043062	extracellular structure organization	4.381e-04	0.000e+00	3.790e+00	1.623e-04
GO:0031346	GO:0031346	positive regulation of cell projection organization	3.141e-04	0.000e+00	4.267e+00	5.411e-05
GO:0031346	GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	6.783e-04	0.000e+00	4.725e+00	1.883e-05
GO:0031346	GO:0050772	positive regulation of axonogenesis	4.343e-03	0.000e+00	4.993e+00	1.017e-05
GO:0016049	GO:0016049	cell growth	3.514e-04	0.000e+00	4.320e+00	4.790e-05
GO:0016049	GO:0048588	developmental cell growth	1.191e-03	0.000e+00	4.490e+00	3.238e-05
GO:0021860	GO:0021860	pyramidal neuron development	3.864e-04	0.000e+00	5.969e+00	1.075e-06
GO:0021860	GO:0021884	forebrain neuron development	4.156e-03	0.000e+00	5.543e+00	2.865e-06
GO:0045229	GO:0045229	external encapsulating structure organization	4.650e-04	0.000e+00	2.372e+00	4.247e-03
GO:0001558	GO:0001558	regulation of cell growth	5.443e-04	0.000e+00	4.003e+00	9.941e-05
GO:0001558	GO:0061387	regulation of extent of cell growth	3.556e-03	0.000e+00	4.750e+00	1.778e-05
GO:0001558	GO:0030516	regulation of axon extension	1.756e-03	0.000e+00	4.846e+00	1.426e-05
GO:0071214	GO:0071214	cellular response to abiotic stimulus	6.393e-04	0.000e+00	3.697e+00	2.011e-04
GO:0071214	GO:0104004	cellular response to environmental stimulus	6.393e-04	0.000e+00	3.697e+00	2.011e-04
GO:0060425	GO:0060425	lung morphogenesis	6.513e-04	0.000e+00	5.423e+00	3.775e-06
GO:0021859	GO:0021859	pyramidal neuron differentiation	6.564e-04	0.000e+00	6.444e+00	3.594e-07
GO:0016050	GO:0016050	vesicle organization	8.894e-04	0.000e+00	3.787e+00	1.634e-04
GO:0016050	GO:0090114	COPII-coated vesicle budding	2.558e-03	0.000e+00	4.715e+00	1.926e-05
GO:0008361	GO:0008361	regulation of cell size	8.961e-04	0.000e+00	4.507e+00	3.115e-05
GO:0010720	GO:0010720	positive regulation of cell development	1.064e-03	0.000e+00	4.076e+00	8.391e-05
GO:0010720	GO:0050769	positive regulation of neurogenesis	4.552e-03	0.000e+00	4.358e+00	4.380e-05
GO:0044089	GO:0044089	positive regulation of cellular component biogenesis	1.086e-03	0.000e+00	3.936e+00	1.160e-04
GO:0022604	GO:0022604	regulation of cell morphogenesis	1.095e-03	0.000e+00	2.373e+00	4.238e-03
GO:0034644	GO:0034644	cellular response to UV	1.245e-03	0.000e+00	4.646e+00	2.260e-05
GO:0034644	GO:0071482	cellular response to light stimulus	1.332e-03	0.000e+00	4.054e+00	8.822e-05
GO:0048675	GO:0048675	axon extension	1.466e-03	0.000e+00	4.904e+00	1.248e-05
GO:0048675	GO:1990138	neuron projection extension	2.510e-03	0.000e+00	4.751e+00	1.776e-05
GO:0048675	GO:0060560	developmental growth involved in morphogenesis	4.682e-03	0.000e+00	4.339e+00	4.584e-05
GO:1905515	GO:1905515	non-motile cilium assembly	1.706e-03	0.000e+00	4.432e+00	3.697e-05
GO:0007266	GO:0007266	Rho protein signal transduction	2.720e-03	0.000e+00	4.102e+00	7.902e-05
GO:0000041	GO:0000041	transition metal ion transport	2.803e-03	0.000e+00	2.491e+00	3.231e-03
GO:0001667	GO:0001667	ameboidal-type cell migration	2.923e-03	0.000e+00	4.212e+00	6.135e-05
GO:0035313	GO:0035313	wound healing, spreading of epidermal cells	3.227e-03	0.000e+00	5.688e+00	2.049e-06
GO:0030032	GO:0030032	lamellipodium assembly	3.265e-03	0.000e+00	5.215e+00	6.093e-06
GO:1903829	GO:1903829	positive regulation of protein localization	3.365e-03	0.000e+00	3.523e+00	3.000e-04
GO:0085029	GO:0085029	extracellular matrix assembly	3.573e-03	0.000e+00	5.149e+00	7.091e-06
GO:0009101	GO:0009101	glycoprotein biosynthetic process	4.056e-03	0.000e+00	4.040e+00	9.127e-05
GO:0033628	GO:0033628	regulation of cell adhesion mediated by integrin	4.171e-03	0.000e+00	5.105e+00	7.856e-06
GO:0016032	GO:0016032	viral process	4.532e-03	0.000e+00	1.600e+00	2.510e-02
GO:0050687	GO:0050687	negative regulation of defense response to virus	4.676e-03	0.000e+00	4.923e+00	1.194e-05
GO:0034332	GO:0034332	adherens junction organization	4.833e-03	0.000e+00	5.080e+00	8.310e-06
GO:1905710	GO:1905710	positive regulation of membrane permeability	4.833e-03	0.000e+00	5.341e+00	4.561e-06
